symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown
EURUSD,M15,PatchTST,0,2400,1.0,0.29,0.8442105875569874,0.3448184090021498,-0.376776128042416,0.376776128042416
EURUSD,M15,PatchTST,3,728,0.30333333333333334,0.31868131868131866,0.9557681604959725,0.44705284926424527,-0.12341399949681242,0.12360739102387619
EURUSD,M15,PatchTST,5,345,0.14375,0.3217391304347826,0.914189577627304,0.4336540304129518,-0.06901829055825892,0.06935381074410751
EURUSD,M15,PatchTST,8,139,0.057916666666666665,0.3381294964028777,1.0776217623789928,0.550524161215355,-0.026298593160390404,0.03207933069624758
EURUSD,M15,PatchTST,10,89,0.037083333333333336,0.34831460674157305,1.4038090374134171,0.7503117268933781,-0.009181458694471956,0.018072979151730117
EURUSD,M15,PatchTST,12,56,0.023333333333333334,0.375,1.4925854169619417,0.8955512501771651,-0.002350090059305532,0.009827250380028962
EURUSD,M15,PatchTST,15,31,0.012916666666666667,0.41935483870967744,0.9815330241786131,0.7088849619067761,-0.0037185080770691936,0.006608828920290688
EURUSD,M15,PatchTST,20,4,0.0016666666666666668,0.5,0.5727065129032317,0.5727065129032317,-0.0007182244065209176,0.0016779355176004263
EURUSD,H1,PatchTST,0,2400,1.0,0.34791666666666665,0.8860018435860196,0.47272302836698177,-0.3843031101305404,0.3866395771550989
EURUSD,H1,PatchTST,3,1231,0.5129166666666667,0.3606823720552396,0.9173110373392613,0.5175172815484524,-0.2184838364136903,0.22206476594487712
EURUSD,H1,PatchTST,5,712,0.2966666666666667,0.3693820224719101,0.9674906203219069,0.566703860010382,-0.1281879452568493,0.13243643545506645
EURUSD,H1,PatchTST,8,328,0.13666666666666666,0.3871951219512195,0.8623498676638605,0.5448678268323894,-0.07599281936278113,0.0788235099962199
EURUSD,H1,PatchTST,10,205,0.08541666666666667,0.34146341463414637,0.811369962471265,0.42071035091102627,-0.06963643831149591,0.07009556896619851
EURUSD,H1,PatchTST,12,128,0.05333333333333334,0.3359375,0.9467552605491307,0.4789467788660309,-0.03969587931582785,0.042011095764758366
EURUSD,H1,PatchTST,15,74,0.030833333333333334,0.36486486486486486,1.0538997691382377,0.6054317822709026,-0.01829950054724916,0.01992299486324345
EURUSD,H1,PatchTST,20,32,0.013333333333333334,0.40625,0.910750106721291,0.6231448098619359,-0.00807163342205508,0.012807400701727367
EURUSD,H4,PatchTST,0,2400,1.0,0.45125,0.9192302982681327,0.7559046416282367,-0.36549431790037057,0.3813943283866722
EURUSD,H4,PatchTST,3,1876,0.7816666666666666,0.45149253731343286,0.9210067923867933,0.758107631828585,-0.2982679397715001,0.3118572152941892
EURUSD,H4,PatchTST,5,1497,0.62375,0.4422177688710755,0.9233810656739804,0.7320697790133833,-0.2755275514255604,0.2829487486011526
EURUSD,H4,PatchTST,8,1077,0.44875,0.4521819870009285,0.8835749893394446,0.7293237623869653,-0.21780505151594576,0.23022028230039848
EURUSD,H4,PatchTST,10,840,0.35,0.4654761904761905,0.8555918251279793,0.7450699412584407,-0.16361163204628248,0.1734223495105417
EURUSD,H4,PatchTST,12,666,0.2775,0.466966966966967,0.8373173125686018,0.7335371386164371,-0.14497712942549046,0.1551859511409608
EURUSD,H4,PatchTST,15,444,0.185,0.4617117117117117,0.8389858719412325,0.719632233255032,-0.11182549930869845,0.11955716931587945
EURUSD,H4,PatchTST,20,239,0.09958333333333333,0.4769874476987448,0.866308869292442,0.7900736887947072,-0.04996800111035016,0.06830207888387085
GBPUSD,M15,PatchTST,0,2400,1.0,0.30916666666666665,0.8366265766470106,0.37441310004347517,-0.3833514262251786,0.3833514262251786
GBPUSD,M15,PatchTST,3,822,0.3425,0.3491484184914842,0.9083300580733566,0.4872723862935577,-0.1337306164377705,0.1337306164377705
GBPUSD,M15,PatchTST,5,362,0.15083333333333335,0.3812154696132597,0.955466398140965,0.5886355488547017,-0.052137451350311115,0.052267362486189906
GBPUSD,M15,PatchTST,8,136,0.056666666666666664,0.40441176470588236,1.161336112513156,0.7885615578793035,-0.010898717950830528,0.01656738690575721
GBPUSD,M15,PatchTST,10,68,0.028333333333333332,0.4852941176470588,0.8685851646229701,0.8189517266445145,-0.004690723062655944,0.01076286389065384
GBPUSD,M15,PatchTST,12,37,0.015416666666666667,0.4864864864864865,0.98036429854674,0.9287661775705958,-0.0009726220087993287,0.005107002715276865
GBPUSD,M15,PatchTST,15,20,0.008333333333333333,0.55,1.3550871438749312,1.6562176202915826,0.0029420166943630033,0.0011521009906951818
GBPUSD,M15,PatchTST,20,3,0.00125,0.3333333333333333,0.5966719216351409,0.29833596081757047,-0.0008980189316927234,0.0010943373832142944
GBPUSD,H1,PatchTST,0,2400,1.0,0.38125,0.8746934510930667,0.5389525304714855,-0.3792421746957113,0.38220682790592186
GBPUSD,H1,PatchTST,3,1367,0.5695833333333333,0.3986832479882955,0.8587888496746512,0.5693916339083759,-0.2287603091199114,0.23228270177826205
GBPUSD,H1,PatchTST,5,816,0.34,0.42034313725490197,0.8344408958030716,0.6051019603815085,-0.14284147763655264,0.15075984136472953
GBPUSD,H1,PatchTST,8,363,0.15125,0.44077134986225897,0.8041932397842434,0.6338468884998962,-0.0647812455395248,0.07038620556936692
GBPUSD,H1,PatchTST,10,233,0.09708333333333333,0.44635193133047213,0.7725790671059077,0.622854441697786,-0.04568019671982593,0.04974591842401477
GBPUSD,H1,PatchTST,12,141,0.05875,0.425531914893617,0.8898422990288318,0.6591424437250607,-0.026795985197466732,0.03300438227287794
GBPUSD,H1,PatchTST,15,90,0.0375,0.3888888888888889,1.0397867904017029,0.6616825029829019,-0.017402707503716197,0.019075055019114773
GBPUSD,H1,PatchTST,20,41,0.017083333333333332,0.5121951219512195,0.9997161963404966,1.0497020061575213,0.001082328129414778,0.005861126684244988
GBPUSD,H4,PatchTST,0,2400,1.0,0.4370833333333333,0.9457609241052067,0.7343473052452716,-0.3982952849832402,0.41183338770747324
GBPUSD,H4,PatchTST,3,1888,0.7866666666666666,0.4475635593220339,0.9313980526787197,0.7545842325153577,-0.3114220305656271,0.32331383506907196
GBPUSD,H4,PatchTST,5,1575,0.65625,0.44825396825396824,0.9546945321525887,0.7756206440733343,-0.24574520267490596,0.2564762395289306
GBPUSD,H4,PatchTST,8,1130,0.4708333333333333,0.46194690265486726,0.9462572415176748,0.8124116448556352,-0.15299480487159367,0.17470911550788026
GBPUSD,H4,PatchTST,10,906,0.3775,0.46799116997792495,0.9086186820903072,0.7992828240794403,-0.13581454575996577,0.15524909296155476
GBPUSD,H4,PatchTST,12,735,0.30625,0.49523809523809526,0.9177610912788963,0.9004448442736341,-0.05559949022026578,0.08692028605449642
GBPUSD,H4,PatchTST,15,525,0.21875,0.4895238095238095,0.9202368127789481,0.8824658988216033,-0.045059921792399704,0.0729173068288258
GBPUSD,H4,PatchTST,20,308,0.12833333333333333,0.4805194805194805,0.8834870637542757,0.8172255339727048,-0.04389020109298192,0.06819858211852459
USDJPY,M15,PatchTST,0,2400,1.0,0.3279166666666667,0.7761011629039803,0.3786680813424876,-0.35104725576358975,0.35125773592069987
USDJPY,M15,PatchTST,3,1042,0.43416666666666665,0.3310940499040307,0.7459977851728917,0.3692528491888775,-0.17966048959216563,0.17999147771126445
USDJPY,M15,PatchTST,5,531,0.22125,0.3483992467043315,0.7408924761117093,0.39614193086897753,-0.0938125028393576,0.09388223516987215
USDJPY,M15,PatchTST,8,182,0.07583333333333334,0.35714285714285715,0.7183869870609265,0.3991038817005147,-0.0356158317882167,0.03583950514984391
USDJPY,M15,PatchTST,10,79,0.032916666666666664,0.4177215189873418,0.6805955403064332,0.4882533223937455,-0.013675124973903774,0.01424641714315189
USDJPY,M15,PatchTST,12,38,0.015833333333333335,0.47368421052631576,0.5375031845169379,0.4837528660652441,-0.007346284168102235,0.007761853622318737
USDJPY,M15,PatchTST,15,15,0.00625,0.4666666666666667,0.9214630228150013,0.8062801449631262,-0.0008385672505709652,0.0027491383029043526
USDJPY,M15,PatchTST,20,5,0.0020833333333333333,0.4,1.22254564244686,0.8150304282979065,-0.00025559992774526474,0.0013762530148967445
USDJPY,H1,PatchTST,0,2400,1.0,0.3770833333333333,0.844087570167526,0.510969398663285,-0.4188008468479758,0.4188008468479758
USDJPY,H1,PatchTST,3,1488,0.62,0.3763440860215054,0.8446165322328077,0.5096823901404874,-0.28981560154048625,0.28981560154048625
USDJPY,H1,PatchTST,5,1005,0.41875,0.38308457711442784,0.8411151482822973,0.5223053743365877,-0.20973038632654695,0.2114723073592627
USDJPY,H1,PatchTST,8,529,0.22041666666666668,0.39697542533081287,0.7686263016491872,0.5059922361953897,-0.13056524766491628,0.13169575952444335
USDJPY,H1,PatchTST,10,338,0.14083333333333334,0.41420118343195267,0.7068433984584426,0.49978826153627254,-0.09053627779141393,0.09381704476858765
USDJPY,H1,PatchTST,12,232,0.09666666666666666,0.4051724137931034,0.6188708254634779,0.42154969270700676,-0.07754113021646147,0.07969809629846225
USDJPY,H1,PatchTST,15,146,0.060833333333333336,0.3972602739726027,0.6403154490084866,0.42202609139195707,-0.051978198631674855,0.051978198631674855
USDJPY,H1,PatchTST,20,71,0.029583333333333333,0.4084507042253521,0.5969114776554515,0.41215316314304984,-0.0325870082889973,0.03604003102963349
USDJPY,H4,PatchTST,0,2400,1.0,0.47625,0.9158682097601134,0.8328061764167141,-0.32530053144701465,0.3519739640628019
USDJPY,H4,PatchTST,3,1992,0.83,0.4784136546184739,0.8998331803189393,0.8253522818517316,-0.29299853023271083,0.3151530845507793
USDJPY,H4,PatchTST,5,1722,0.7175,0.47502903600464574,0.8983394827805794,0.8128779833125154,-0.27964426453126656,0.2970432627261801
USDJPY,H4,PatchTST,8,1374,0.5725,0.4781659388646288,0.8813641349709334,0.8076098140528637,-0.24318561317144138,0.25952719062486396
USDJPY,H4,PatchTST,10,1154,0.48083333333333333,0.4783362218370884,0.8714183402222244,0.7990414016655613,-0.22052095041000597,0.23533645220842792
USDJPY,H4,PatchTST,12,977,0.40708333333333335,0.49027635619242577,0.9063522282236025,0.8717725247371598,-0.1232260633594735,0.193127848277314
USDJPY,H4,PatchTST,15,759,0.31625,0.5032938076416338,0.9161758838936421,0.928326757685335,-0.05585383583605574,0.12319856762446924
USDJPY,H4,PatchTST,20,472,0.19666666666666666,0.5254237288135594,0.9267823988135516,1.0260805129721466,0.010411507272138909,0.07451618116930736
XAUUSD,M15,PatchTST,0,2400,1.0,0.44958333333333333,0.8861191584815363,0.7237869583660694,-0.45042534452299154,0.46221291332011394
XAUUSD,M15,PatchTST,3,1906,0.7941666666666667,0.44491080797481636,0.8930218311106515,0.7157679704932254,-0.40689863519540226,0.419528335081073
XAUUSD,M15,PatchTST,5,1625,0.6770833333333334,0.456,0.8909481342757185,0.7468241713781758,-0.3369115324298634,0.3500372253510159
XAUUSD,M15,PatchTST,8,1239,0.51625,0.4447134786117837,0.90789589550197,0.7271084860778858,-0.3119510319338522,0.3263469957788445
XAUUSD,M15,PatchTST,10,1043,0.4345833333333333,0.46308724832214765,0.8795077551577831,0.758575438823588,-0.25242143239351955,0.26547381164835426
XAUUSD,M15,PatchTST,12,859,0.35791666666666666,0.46332945285215366,0.8697646741572883,0.7509031243266827,-0.2329601287652271,0.24755444602461296
XAUUSD,M15,PatchTST,15,645,0.26875,0.4806201550387597,0.8522119020035169,0.7886139988689261,-0.16591485432045083,0.17346969004395707
XAUUSD,M15,PatchTST,20,454,0.18916666666666668,0.47577092511013214,0.8725686514115882,0.7919110449785843,-0.1333364129214042,0.1400200455966295
XAUUSD,H1,PatchTST,0,2400,1.0,0.4716666666666667,0.920061003350217,0.8213793815397836,-0.47445055759830923,0.4939642375241303
XAUUSD,H1,PatchTST,3,2144,0.8933333333333333,0.4710820895522388,0.9290740847685284,0.8274822095381072,-0.43607676108124904,0.46060280333586723
XAUUSD,H1,PatchTST,5,1948,0.8116666666666666,0.47433264887063653,0.9134866373970987,0.8242789579637883,-0.41887231770938516,0.4498546498247574
XAUUSD,H1,PatchTST,8,1696,0.7066666666666667,0.48172169811320753,0.8922737139424309,0.829337456531247,-0.37941718638308863,0.41149796407219097
XAUUSD,H1,PatchTST,10,1545,0.64375,0.48220064724919093,0.8855893055987514,0.8247050408388372,-0.3705328643784417,0.4030729135022274
XAUUSD,H1,PatchTST,12,1395,0.58125,0.4860215053763441,0.8424388239290462,0.7966157916651232,-0.39463959176184005,0.4253565890406993
XAUUSD,H1,PatchTST,15,1207,0.5029166666666667,0.49544324772162385,0.8191067231698861,0.8043116920453068,-0.3537569339763561,0.3886221898965121
XAUUSD,H1,PatchTST,20,897,0.37375,0.5016722408026756,0.8392121106468309,0.8448444066914405,-0.24150254694592144,0.2784548629329803
XAUUSD,H4,PatchTST,0,2400,1.0,0.46875,0.8982682744738848,0.7925896539475454,-0.6443393137638705,0.6784479092572265
XAUUSD,H4,PatchTST,3,2168,0.9033333333333333,0.47001845018450183,0.9182187385051984,0.8143297602583092,-0.5674928061950575,0.6097086985345621
XAUUSD,H4,PatchTST,5,2023,0.8429166666666666,0.4740484429065744,0.9221080506545628,0.8311105456557571,-0.5118480262372875,0.5641784527482564
XAUUSD,H4,PatchTST,8,1846,0.7691666666666667,0.4739978331527627,0.929297904965195,0.8374208721365043,-0.47801756303696674,0.5329169888449257
XAUUSD,H4,PatchTST,10,1714,0.7141666666666666,0.47316219369894985,0.9447511838202202,0.8484974640954579,-0.43072064949995814,0.48383374800059165
XAUUSD,H4,PatchTST,12,1582,0.6591666666666667,0.47092288242730723,0.9351289713782627,0.832342991250664,-0.4442778634435228,0.4935870696564425
XAUUSD,H4,PatchTST,15,1424,0.5933333333333334,0.47120786516853935,0.9279488284010495,0.8268972959589698,-0.4273039129633711,0.4781192172231673
XAUUSD,H4,PatchTST,20,1134,0.4725,0.47266313932980597,0.9035948997667836,0.8099111476170503,-0.4021877198114939,0.4572259701439766
