symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc
GBPUSD,M15,PatchTST,3.0,728,0.30333333333333334,0.3434065934065934,0.9428264072680547,0.493110045642288,-0.12008886220911086,0.12008886220911086,-0.0001754301564150024,0.5041208791208791
GBPUSD,M15,PatchTST,5.0,292,0.12166666666666667,0.4041095890410959,0.9650022096782699,0.6544267858737692,-0.03637363164843199,0.03687103184384477,-0.00012649017119479992,0.5273972602739726
GBPUSD,M15,PatchTST,8.0,88,0.03666666666666667,0.4659090909090909,0.7957297859392815,0.6941472600746923,-0.00988683688677483,0.013222669812068988,-0.00011257863082655338,0.5909090909090909
GBPUSD,M15,PatchTST,10.0,44,0.018333333333333333,0.45454545454545453,1.0238588233803538,0.8532156861502946,-0.0023646608846770167,0.00687354568176668,-5.350306970277361e-05,0.5454545454545454
GBPUSD,M15,PatchTST,12.0,28,0.011666666666666667,0.5714285714285714,1.2463535110704533,1.6618046814272711,0.004697192065803879,0.0018081571414649833,0.00016765554276071575,0.6785714285714286
GBPUSD,M15,PatchTST,15.0,8,0.0033333333333333335,0.625,1.1187731427860526,1.8646219046434211,0.001467205540666594,0.0010943373832142944,0.00018351194629933894,0.75
GBPUSD,M15,PatchTST,20.0,1,0.0004166666666666667,0.0,,0.0,-0.00018509715489334333,0.00018509715489334333,-0.0001850971548932906,1.0
GBPUSD,H1,PatchTST,3.0,1248,0.52,0.39503205128205127,0.8702925185843258,0.5682837240557254,-0.2148698155475921,0.21797142449725126,-0.0001933387585539463,0.5160256410256411
GBPUSD,H1,PatchTST,5.0,714,0.2975,0.42997198879551823,0.8252964820926548,0.6225209336669411,-0.11917853383920729,0.12612544626107758,-0.00017717728094241992,0.5294117647058824
GBPUSD,H1,PatchTST,8.0,291,0.12125,0.4639175257731959,0.8297083269158521,0.7180168213694874,-0.0404430880296619,0.04494775937047979,-0.0001411794505378466,0.5532646048109966
GBPUSD,H1,PatchTST,10.0,168,0.07,0.44047619047619047,0.8193564491616093,0.6450252897655223,-0.03192027144049481,0.03718531855400353,-0.00019234681855312787,0.5178571428571429
GBPUSD,H1,PatchTST,12.0,111,0.04625,0.36936936936936937,0.9986368615240923,0.5849158760355397,-0.0269019996314952,0.028839898551807575,-0.0002448981526415848,0.43243243243243246
GBPUSD,H1,PatchTST,15.0,69,0.02875,0.391304347826087,1.042523877440285,0.6701939212116116,-0.01376083796134242,0.014280566007447537,-0.00019992355470083866,0.43478260869565216
GBPUSD,H1,PatchTST,20.0,28,0.011666666666666667,0.4642857142857143,0.9903533248437942,0.8583062148646216,-0.0024302606688739736,0.0041850608898915675,-8.60406270810006e-05,0.5
GBPUSD,H4,PatchTST,3.0,1807,0.7529166666666667,0.44050913115661317,0.9343008342711041,0.7356117349948554,-0.3243321928248939,0.33789112131780286,-0.000214995288884511,0.49418926397343665
GBPUSD,H4,PatchTST,5.0,1473,0.61375,0.45078071961982347,0.9354610268710379,0.7677949590140534,-0.23975558977568678,0.25457698186671696,-0.00018415269647876445,0.5030549898167006
GBPUSD,H4,PatchTST,8.0,1042,0.43416666666666665,0.46641074856046066,0.9171063091102979,0.801643284582023,-0.1490355407857924,0.1637984424690393,-0.00015294751117161815,0.5211132437619962
GBPUSD,H4,PatchTST,10.0,804,0.335,0.4689054726368159,0.9249365059552817,0.8166301235249208,-0.11051900759547595,0.13601416706640423,-0.00014368310507894156,0.5211442786069652
GBPUSD,H4,PatchTST,12.0,638,0.2658333333333333,0.4827586206896552,0.8915063548154624,0.832072597827765,-0.08114431352140028,0.10085874052056398,-0.00013060737277764044,0.5376175548589341
GBPUSD,H4,PatchTST,15.0,442,0.18416666666666667,0.4796380090497738,0.8415607462068707,0.7756994704167679,-0.07478026154787887,0.08680192722031266,-0.00017392319259838812,0.5316742081447964
GBPUSD,H4,PatchTST,20.0,231,0.09625,0.5064935064935064,0.9220548383825914,0.9463194393926595,-0.009332572251578797,0.03596436036680972,-3.854853046695223e-05,0.5627705627705628
EURUSD,M15,PatchTST,3.0,631,0.2629166666666667,0.3248811410459588,0.9417588211559168,0.45319379891305855,-0.10758316733571471,0.10758316733571471,-0.00018015177720074414,0.4849445324881141
EURUSD,M15,PatchTST,5.0,289,0.12041666666666667,0.3079584775086505,0.9415328431204714,0.4189821151886098,-0.06076046217960929,0.06152625827787983,-0.0002165935039381216,0.47750865051903113
EURUSD,M15,PatchTST,8.0,100,0.041666666666666664,0.34,1.2574724125862216,0.6477888186050231,-0.015302512828528458,0.02142071845551019,-0.0001536205836637333,0.48
EURUSD,M15,PatchTST,10.0,59,0.024583333333333332,0.3728813559322034,1.440809257705088,0.8566973964732955,-0.0035193445840512316,0.01098774160669802,-5.9034378905619904e-05,0.4915254237288136
EURUSD,M15,PatchTST,12.0,40,0.016666666666666666,0.375,1.602753293959256,0.9616519763755536,-0.0006742892249386179,0.006282885205635802,-1.595774415734728e-05,0.45
EURUSD,M15,PatchTST,15.0,11,0.004583333333333333,0.36363636363636365,0.7792607449493104,0.4452918542567488,-0.0018591572027575332,0.0018591572027575332,-0.000169014031864263,0.45454545454545453
EURUSD,M15,PatchTST,20.0,1,0.0004166666666666667,1.0,,,0.0008754707893434688,0.0,0.0008754707893435281,1.0
EURUSD,H1,PatchTST,3.0,1107,0.46125,0.3568202348690154,0.9344445860272126,0.5184067576976812,-0.20590551500758414,0.21335811688951656,-0.0002078405275968184,0.5031616982836495
EURUSD,H1,PatchTST,5.0,589,0.24541666666666667,0.38200339558573854,0.9428723911262752,0.582819472536846,-0.10679129189480119,0.10753436561796093,-0.0001912083903595281,0.5229202037351444
EURUSD,H1,PatchTST,8.0,242,0.10083333333333333,0.3760330578512397,0.8301961284796536,0.5003168721301224,-0.06786678921647249,0.07052734720178777,-0.0002896849408318684,0.49586776859504134
EURUSD,H1,PatchTST,10.0,137,0.05708333333333333,0.36496350364963503,0.8352640671275536,0.4800368201882492,-0.043955656456900916,0.047218750237814744,-0.00032724623535794657,0.49635036496350365
EURUSD,H1,PatchTST,12.0,78,0.0325,0.34615384615384615,0.9681102322358608,0.5125289464778087,-0.02481291077273895,0.026425633489365885,-0.000321147950419383,0.47435897435897434
EURUSD,H1,PatchTST,15.0,46,0.019166666666666665,0.34782608695652173,0.8727260557140453,0.46545389638082413,-0.01935334187818083,0.020975093396436217,-0.00042357719178407453,0.45652173913043476
EURUSD,H1,PatchTST,20.0,22,0.009166666666666667,0.5,0.8947960702351548,0.8947960702351548,-0.0013185679255073302,0.004954025809633333,-5.9197552172452824e-05,0.5454545454545454
EURUSD,H4,PatchTST,3.0,1798,0.7491666666666666,0.4460511679644049,0.939072284244809,0.756160614422025,-0.2922135585878842,0.31292375224514224,-0.00019024043054305156,0.5161290322580645
EURUSD,H4,PatchTST,5.0,1435,0.5979166666666667,0.44529616724738674,0.9076563525489599,0.7286336799984741,-0.27309317260956323,0.28741612358466506,-0.00022018901568923263,0.5156794425087108
EURUSD,H4,PatchTST,8.0,958,0.39916666666666667,0.4561586638830898,0.8782221657357568,0.7366278050413163,-0.19169101290472845,0.20647759470056615,-0.00021985505499349945,0.5271398747390397
EURUSD,H4,PatchTST,10.0,727,0.30291666666666667,0.4649243466299862,0.8444514444390553,0.733739301337791,-0.15595211768311223,0.17311508180018997,-0.00023071914954341725,0.5364511691884457
EURUSD,H4,PatchTST,12.0,546,0.2275,0.4633699633699634,0.8733722235263812,0.7541405206558855,-0.11410280420909924,0.12481381660634083,-0.00021917751585908194,0.5311355311355311
EURUSD,H4,PatchTST,15.0,367,0.15291666666666667,0.47411444141689374,0.836993561472978,0.7545952315870372,-0.08259767844635157,0.09648475798027678,-0.00023195276818973264,0.5340599455040872
EURUSD,H4,PatchTST,20.0,205,0.08541666666666667,0.4878048780487805,0.8721041097250092,0.8305753425952469,-0.03336341269572518,0.056384143983551294,-0.0001623511269094895,0.5658536585365853
USDJPY,M15,PatchTST,3.0,928,0.38666666666666666,0.3275862068965517,0.7390303751280257,0.36004043916493567,-0.16272097123925466,0.16278540097167693,-0.00019123462768000712,0.5107758620689655
USDJPY,M15,PatchTST,5.0,422,0.17583333333333334,0.34360189573459715,0.7673650219071713,0.4016892713954507,-0.07602985562927156,0.07602985562927156,-0.00018721170578823228,0.5165876777251185
USDJPY,M15,PatchTST,8.0,119,0.04958333333333333,0.37815126050420167,0.6384089849210774,0.3882216800195742,-0.025203467590329764,0.025609366656644927,-0.00021428395367601878,0.5126050420168067
USDJPY,M15,PatchTST,10.0,45,0.01875,0.4444444444444444,0.5744037552929313,0.45952300423434506,-0.008896931307802447,0.009780035115603547,-0.00019832514928555002,0.4888888888888889
USDJPY,M15,PatchTST,12.0,21,0.00875,0.42857142857142855,0.699253483960033,0.5244401129700247,-0.004229799977461535,0.006279430060084579,-0.00020144789395240456,0.47619047619047616
USDJPY,M15,PatchTST,15.0,9,0.00375,0.4444444444444444,0.5428173639414678,0.43425389115317425,-0.0018557641712728667,0.0032755251549948516,-0.00020614135678992398,0.4444444444444444
USDJPY,M15,PatchTST,20.0,2,0.0008333333333333334,0.5,2.1729261057776825,2.1729261057776825,0.0006046901181702147,0.0005160331449104438,0.00030263437355597904,0.5
USDJPY,H1,PatchTST,3.0,1375,0.5729166666666666,0.38036363636363635,0.8268097096998185,0.5075369462124473,-0.2756659277946707,0.2756659277946707,-0.00023403294570984435,0.49454545454545457
USDJPY,H1,PatchTST,5.0,884,0.36833333333333335,0.38009049773755654,0.8458823347091166,0.5186431833252977,-0.19332522081476833,0.19332522081476833,-0.0002424447665510638,0.48755656108597284
USDJPY,H1,PatchTST,8.0,423,0.17625,0.3877068557919622,0.7409538371588932,0.4691754026797625,-0.11704782560622584,0.11878599401422896,-0.000293620532293648,0.491725768321513
USDJPY,H1,PatchTST,10.0,263,0.10958333333333334,0.4068441064638783,0.6616355809375247,0.4538141484635586,-0.07983304641404088,0.08113265096258293,-0.00031558774800714937,0.5133079847908745
USDJPY,H1,PatchTST,12.0,177,0.07375,0.4180790960451977,0.5930550816624139,0.4260784081846469,-0.062495804396118015,0.06338927651820614,-0.0003636549377861306,0.5254237288135594
USDJPY,H1,PatchTST,15.0,113,0.04708333333333333,0.39823008849557523,0.5690755665798178,0.3765941249425264,-0.04926276905033922,0.04940584427181982,-0.0004460647517563598,0.4778761061946903
USDJPY,H1,PatchTST,20.0,49,0.020416666666666666,0.3469387755102041,0.5815427422773338,0.3089445818348336,-0.030685499201759114,0.03220964606464283,-0.0006345148626145359,0.40816326530612246
USDJPY,H4,PatchTST,3.0,1971,0.82125,0.4759005580923389,0.9202494071256434,0.83561853231738,-0.276466998445144,0.3041735084622115,-0.00016094941488644968,0.5215626585489599
USDJPY,H4,PatchTST,5.0,1679,0.6995833333333333,0.4723049434187016,0.9000632940362787,0.8055871243462404,-0.2857493696808633,0.30416505327671606,-0.0001970897728084443,0.5145920190589637
USDJPY,H4,PatchTST,8.0,1318,0.5491666666666667,0.47116843702579664,0.8763697775642585,0.7808115234826465,-0.2636153289267864,0.27597256573042084,-0.00022865123530707053,0.5136570561456753
USDJPY,H4,PatchTST,10.0,1107,0.46125,0.4679313459801265,0.8942107874402208,0.7864196738438614,-0.22419348992709953,0.23412630907683663,-0.00022570100355677518,0.5121951219512195
USDJPY,H4,PatchTST,12.0,925,0.3854166666666667,0.48,0.9054001439192313,0.8357539790023673,-0.1477883488060927,0.16947748341861157,-0.00016925107615946617,0.5210810810810811
USDJPY,H4,PatchTST,15.0,695,0.28958333333333336,0.5093525179856115,0.9031182786318827,0.9375480077292858,-0.045510213617803164,0.09076143570614659,-6.30232708550983e-05,0.5453237410071943
USDJPY,H4,PatchTST,20.0,426,0.1775,0.4953051643192488,1.0372006003355203,1.0179038449804407,0.00595392668436201,0.06665794377065182,1.8596667963591417e-05,0.528169014084507
